id,query_text,lclsf_nm,age,school_cd,job_cd,mrg_stts_cd,zip_cd,plcy_major_cd,ground_truth_policies
1,전라남도 장흥군에 사는 27세 기혼 청년인데 주거 지원 정책이 있을까?,주거,27,,,기혼,전라남도 장흥군,,20250110005400210140
2,전국 대상 37세 재직자 청년인데 취업·창업 지원 정책이 있을까?,일자리,37,,재직자,,전국,,20250428005400210725
3,전북특별자치도에 사는 31세 미취업자 청년인데 취업·창업 지원 정책이 있을까?,일자리,31,,미취업자,,전북특별자치도,,20250113005400210213
4,"경기도 부천시 원미구, 경기도 부천시 소사구, 경기도 부천시 오정구에 사는 31세 청년인데 취업·창업 지원 정책이 있을까?",일자리,31,,,,"경기도 부천시 원미구, 경기도 부천시 소사구, 경기도 부천시 오정구",,20250307005400210600
5,전북특별자치도에 사는 32세 청년인데 취업·창업 지원 정책이 있을까?,일자리,32,,,,전북특별자치도,,20250114005400210216
6,부산광역시 사상구에 사는 33세 청년인데 취업·창업 지원 정책이 있을까?,일자리,33,,,,부산광역시 사상구,,20240516005400200011
7,서울특별시 금천구에 사는 27세 미취업자 청년인데 취업·창업 지원 정책이 있을까?,일자리,27,,미취업자,,서울특별시 금천구,,20250224005400210564
8,대구광역시에 사는 25세 청년인데 주거 지원 정책이 있을까?,주거,25,,,,대구광역시,,20250219005400210457
9,전국 대상 39세 청년인데 취업·창업 지원 정책이 있을까?,일자리,39,,,,전국,,20250212005400110432
10,전국 대상 24세 미취업자 공학계열 청년인데 취업·창업 지원 정책이 있을까?,일자리,24,,미취업자,,전국,공학계열,20250115005400110269
11,부산광역시 서구에 사는 30세 미취업자 청년인데 취업·창업 지원 정책이 있을까?,일자리,30,,미취업자,,부산광역시 서구,,20250117005400210324
12,전국 대상 18세 청년인데 취업·창업 지원 정책이 있을까?,일자리,18,,,,전국,,20250204005400110409
13,충청북도에 사는 26세 청년인데 취업·창업 지원 정책이 있을까?,일자리,26,,,,충청북도,,20250220005400210496
14,전라남도에 사는 26세 청년인데 취업·창업 지원 정책이 있을까?,일자리,26,,,,전라남도,,20250119005400210334
15,전국 대상 34세 청년인데 취업·창업 지원 정책이 있을까?,일자리,34,,,,전국,,20250123005400110396
16,전국 대상 38세 청년인데 취업·창업 지원 정책이 있을까?,일자리,38,,,,전국,,20250212005400110422
17,경상남도 김해시에 사는 36세 미취업자 청년인데 취업·창업 지원 정책이 있을까?,일자리,36,,미취업자,,경상남도 김해시,,20250314005400210611
