query,naive_rag_answer,advanced_rag_answer,o3_naive_evaluation,o3_advanced_evaluation,person_naive_evaluation,person_advanced_evaluation
서울에 사는 25세 청년인데 전세자금대출 지원 프로그램이 있나요?,"안녕하세요! 서울에 사는 25세 청년으로서 전세자금대출 지원 프로그램을 찾고 계시군요. 서울시에서는 청년들의 주거 안정을 위해 몇 가지 지원 프로그램을 운영하고 있습니다. 그 중에서 전세자금과 관련된 지원 프로그램을 소개해드릴게요.

1. **청년안심주택 공급활성화(임차보증금 무이자지원)**:
   - **지원내용**: 청년안심주택 또는 민간임대주택에 입주하는 청년들에게 임차보증금을 무이자로 지원합니다. 보증금이 1억 원 이하인 경우 보증금의 50%를, 1억 원을 초과할 경우 보증금의 30%를 지원하며, 최대 지원금액은 4,500만 원입니다.
   - **지원대상**: 19세부터 39세까지의 청년으로, 전년도 도시근로자 가구당 월평균소득의 100% 이하인 경우 신청 가능합니다.
   - **신청방법**: 임대차 계약 체결 후 약정서 작성 및 구비서류를 제출하면 소득심사 등을 거쳐 지원금이 지급됩니다.

이 프로그램은 서울시와 SH공사가 주관하며, 안정적인 주거 환경을 제공하기 위해 마련되었습니다. 전세자금 대출을 찾고 계신다면 이 프로그램이 도움이 될 수 있을 것 같습니다. 더 궁금한 점이 있으면 언제든지 문의해 주세요! 😊","안녕하세요! 😊 서울에 거주하는 25세 청년이시군요. 전세자금대출 지원 프로그램에 대해 알아보았습니다. 다음과 같은 정책들이 있습니다:

---

### 1. 신혼부부 청년 임차보증금 지원사업
- **설명**: 신혼부부 및 청년의 주거안정을 위한 주거비 부담 완화 프로그램입니다.
- **대상**: 서울특별시에 거주하는 19세에서 39세 사이의 청년
- **지원내용**: 임차보증금 이자 지원
- **문의**: 주택정책관

---

### 2. 청년안심주택 공급활성화(임차보증금 무이자지원)
- **설명**: 청년 및 신혼부부의 안정적인 주거환경 확보를 위해 주거비를 지원합니다.
- **대상**: 서울특별시에 거주하는 19세에서 39세 사이의 청년
- **지원내용**: 임차보증금 무이자 지원
- **문의**: 서울시, SH공사

---

### 3. 청년 주택드림 디딤돌 대출
- **설명**: 청년의 주거사다리 지원을 위해 청약 당첨 시 주택구입자금을 대출해주는 프로그램입니다.
- **대상**: 전국의 39세 이하 청년
- **지원내용**: 대출금리 2.4% ~ 4.15%, 대출한도 최대 3억원
- **신청방법**: 기금e든든 홈페이지에서 온라인 신청 가능

---

이 외에도 더 궁금한 사항이 있거나 추가적인 도움이 필요하시면 언제든지 문의해 주세요! 😊",10.0,9.0,,
광주에 살고 있는데 청년 월세 부담을 줄일 수 있는 정책 알려줘,"광주에 거주하는 청년으로서 월세 부담을 줄일 수 있는 정책으로는 ""청년맞춤형 주택임차보증금 이자지원""이 있습니다. 이 정책은 대학(원)생, 취업준비생, 사회초년생을 대상으로 임대보증금 대출을 알선하고, 대출이자의 일부를 지원하여 주거안정을 돕는 프로그램입니다.

**지원 내용:**
- 주택임차보증금의 90% 이내(최대 1억원)에 대해 이자 일부(2%)를 2년간 지원합니다. 연장은 1회 가능하여 최장 4년까지 지원받을 수 있습니다.

**지원 대상:**
- 광주광역시에 주소를 둔 만 19세에서 39세 이하의 무주택자 청년이 대상입니다.

**신청 방법:**
- 광주청년통합플랫폼을 통해 신청할 수 있으며, 신청 후 적격자 알림을 통해 대출이 진행됩니다.

이 외에도 광주에 거주하는 청년이라면 ""광주형 청년일자리 공제""와 같은 다른 정책들도 참고하실 수 있습니다. 해당 정책은 지역 중소기업에 재직 중인 청년에게 재정 지원을 통해 장기근속과 지역정착을 유도하는 프로그램입니다.

더 궁금한 사항이 있거나 신청을 원하시면 광주청년통합플랫폼을 방문해 보세요. 도움이 되셨길 바랍니다!","안녕하세요! 😊 광주에 거주하는 청년분들을 위한 주거 정책을 소개해드릴게요.

---

### 1. 청년맞춤형 주택임차보증금 이자지원
- **정책 설명**: 대학(원)생, 취업준비생, 사회초년생을 대상으로 임대보증금 대출을 알선하고, 대출이자의 일부를 지원하여 주거안정을 돕는 정책입니다.
- **지원 내용**: 2억원 이하 주택임차보증금의 90% 이내(최대 1억원)에 대해 이자 일부(2%)를 2년간 지원합니다. 연장 1회 가능하여 최장 4년까지 지원됩니다.
- **신청 방법**: 광주청년통합플랫폼에서 신청할 수 있으며, 자세한 내용은 [여기](https://youth.gwangju.go.kr)에서 확인하세요.

---

### 2. 상무지구 광주형 통합공공임대주택 건립
- **정책 설명**: 집값 상승과 전월세 부담으로 어려움을 겪는 청년, 신혼부부 등 중산층 이하 무주택 가구의 주거안정을 위해 새로운 유형의 질 좋은 공공임대주택을 공급하는 정책입니다.
- **지원 내용**: 통합공공임대주택 460세대가 건립될 예정입니다.
- **신청 방법**: 2026년 입주자 모집공고가 예정되어 있으니, 추후 공고를 확인해주세요.

---

이 두 가지 정책이 광주에 거주하는 청년분들의 월세 부담을 줄이는 데 도움이 될 수 있을 것 같습니다. 추가 문의가 필요하시면 광주청년통합플랫폼을 방문하시거나 관련 기관에 문의해보세요. 😊",10.0,10.0,,
경기도 수원시 청년 공공임대주택 신청 방법 궁금해,"안녕하세요! 경기도 수원시에서 청년 공공임대주택을 신청하고자 하시는군요. 안타깝게도 제공된 정보에는 경기도 수원시의 청년 공공임대주택에 대한 구체적인 신청 방법이 포함되어 있지 않습니다. 하지만 경기도 청년들을 위한 다른 지원 정책인 '경기도 청년기본소득'에 대해 안내해드릴 수 있습니다.

**경기도 청년기본소득**은 청년의 사회적 기본권 보장을 위한 경기도형 기본소득제도입니다. 분기별로 25만원씩, 1인당 최대 100만원을 지역화폐로 지급합니다. 신청은 온라인으로 가능하며, 신청 기간은 매년 5월 1일부터 5월 30일까지입니다. 신청 시 필요한 서류는 주민등록초본과 기초생활수급자 증명서(해당자에 한함)입니다.

더 자세한 정보나 다른 주거 지원 정책에 대한 안내는 경기도 수원시청이나 경기도 콜센터(031-120)로 문의하시면 도움이 될 것입니다. 추가적인 궁금한 점이 있다면 언제든지 말씀해 주세요!","안녕하세요! 😊 경기도 수원시에서 청년 공공임대주택을 찾고 계시군요. 현재 검색된 정책 중에서 경기도 수원시에 직접적으로 해당하는 정책은 없지만, 청년층을 위한 주거 지원 정책을 몇 가지 소개해드릴게요.

---

### 청년 신규 공무원 주거안정방안 마련
- **정책 설명**: 높은 생활비 등으로 인하여 행복도시 정착에 어려움을 겪는 사회 초년생 등 청년층을 위한 청년 임대주택 확보방안을 마련합니다.
- **분류**: 주거 - 임대주택, 기숙사 등 주거지원
- **문의 횟수**: 3950회

---

### 대전청년하우스
- **정책 설명**: 청년근로자의 주거안정 및 주거복지 향상을 통한 지역정착을 유도합니다.
- **분류**: 주거 - 임대주택, 기숙사 등 주거지원
- **문의 횟수**: 317회

---

경기도 수원시에서의 구체적인 공공임대주택 신청 방법에 대한 정보는 현재 제공된 데이터에 포함되어 있지 않습니다. 수원시청이나 경기도청의 주거 관련 부서에 직접 문의하시면 더 정확한 정보를 얻으실 수 있습니다. 추가로 궁금한 점이 있으면 언제든지 문의해주세요! 😊",4.0,4.0,,
대전 청년하우스 입주 조건이 어떻게 되나요?,"안녕하세요! 대전 청년하우스 입주 조건에 대해 안내해드릴게요.

**대전청년하우스**는 대전 소재 사업장에서 근무하는 청년 근로자를 위한 기숙사입니다. 이곳은 옛 외국인유학생기숙사 누리관을 리모델링하여 운영되고 있습니다.

**입주 조건:**
- **지원대상:** 대전광역시에 소재하는 사업장에서 근무하는 청년 근로자입니다. 특수고용직 및 프리랜서도 포함되며, 외국인 근로자의 경우 외국인등록증이 필요합니다.
- **연령:** 만 18세부터 39세까지의 청년
- **입주기간:** 기본 2년이며, 입주 대기자가 없는 경우 1년씩 최대 2회 연장 가능합니다.
- **입주부담금:** 보증금 1,000,000원, 임대료 250,000원, 관리비 20,000원(인터넷 및 보안 등), 공과금 별도(전기, 가스, 수도 등)

**신청 방법:**
- **이메일 접수:** youthhouse.d@gmail.com로 신청서와 관련 서류를 스캔하여 제출
- **현장 접수:** 대전 유성구 엑스포로97번길 103 (도룡동)에서 가능합니다. 대리접수는 현장접수만 가능하며, 입주자와 대리자의 도장 및 신분증이 필요합니다.

더 궁금한 사항이 있으면 대전청년하우스 홈페이지를 방문하시거나 042-863-2030으로 문의해 주세요. 좋은 하루 보내세요!","안녕하세요! 😊 대전 청년하우스 입주 조건에 대해 안내드릴게요.

---

### 대전청년하우스
- **정책명:** 대전청년하우스
- **정책 설명:** 청년근로자의 주거안정 및 주거복지 향상을 통한 지역정착 유도
- **지원 내용:**
  - 대전 유성구에 위치한 옛 외국인유학생기숙사 누리관을 리모델링하여 대전소재 사업장에서 근무하는 청년 근로자 대상 기숙사 조성 및 운영
  - 입주기간은 2년이며, 만기 시 연장은 1년씩 최대 2회 가능
  - 보증금 1,000,000원, 임대료 250,000원, 관리비 20,000원
  - 침대, 냉장고, 옷장, 책상, 의자, 신발장, 시스템에어컨, IP-TV, WIFI 등 제공
- **신청 방법:**
  - 상시 신청 가능하며, 이메일(youthhouse.d@gmail.com) 또는 현장 접수
  - 자세한 내용은 [대전청년하우스 홈페이지](https://daejeonyouthhouse.co.kr/)에서 확인 가능
- **문의:** ☎ 042-863-2030

---

대전청년하우스는 대전에서 근무하는 청년 근로자에게 적합한 주거 지원 정책입니다. 추가 문의가 필요하시면 위의 연락처로 문의하시거나 홈페이지를 방문해보세요! 🏠",10.0,10.0,,
부산에서 청년 임차보증금 이자 지원 받을 수 있나요?,"부산에서 청년 임차보증금 이자 지원을 받을 수 있는 두 가지 주요 정책이 있습니다.

1. **부산청년 머물자리론**
   - **지원대상**: 신청일 현재 주민등록상 부산광역시에 거주하는 19~39세 무주택 청년(신혼부부 제외) 세대주
   - **지원내용**: 부산은행을 통해 최대 1억 원 이내의 임차보증금 대출 및 소득별 차등 이자 지원
   - **신청방법**: 부산청년플랫폼을 통해 매월 1일~10일 온라인 신청
   - **소득기준**: 미혼인 경우 본인 연소득 60백만원 이하, 기혼인 경우 부부합산 연소득 100백만원 이하

2. **부산 자립청년 주거 다 지원 사업**
   - **지원대상**: 신청일 현재 주민등록상 부산광역시에 거주하는 보호종료 5년 경과~39세 무주택 자립청년(신혼부부 제외) 세대주
   - **지원내용**: 임차보증금 대출이자 지원(1~1.5%, 12개월), 중개보수, 주거 생활비, 자립물품 구입비 지원
   - **신청방법**: 부산청년플랫폼을 통해 매월 1일~10일 온라인 신청
   - **소득기준**: 연소득 본인 60백만원 이하, 부부합산 100백만원 이하

이 두 정책 모두 부산에 거주하는 청년들에게 임차보증금 대출 및 이자 지원을 제공하므로, 본인의 상황에 맞는 정책을 선택하여 신청하시면 됩니다. 추가적인 정보나 신청 절차에 대한 문의는 부산청년플랫폼을 통해 확인하실 수 있습니다. 도움이 되셨길 바랍니다!","안녕하세요! 부산에서 청년 임차보증금 이자 지원을 받을 수 있는 정책을 안내해드릴게요. 😊

---

### 1. 부산 자립청년 주거 다 지원 사업
- **정책 설명**: 자립청년을 대상으로 머물자리론 대출 이자, 중개보수, 주거생활비, 자립물품 구입비를 지원합니다.
- **지원 대상**: 부산광역시에 거주하는 19세에서 39세 사이의 무주택 자립청년
- **지원 내용**:
  - 임차보증금 대출이자 지원 (1~1.5%, 12개월)
  - 중개보수 지원 (최대 30만원, 1회)
  - 주거 생활비 지원 (월 10만원, 12개월)
  - 자립물품 구입비 지원 (50만원, 1회)
- **신청 방법**: 부산청년플랫폼 온라인 신청
- **문의**: [부산청년플랫폼](https://young.busan.go.kr/index.nm?menuCd=274)

---

### 2. 부산청년 머물자리론
- **정책 설명**: 부산 청년 임차보증금 대출 및 대출이자 지원사업입니다.
- **지원 대상**: 부산광역시에 거주하는 19세에서 39세 사이의 무주택 청년
- **지원 내용**:
  - 대출최대한도: 1억 원 이내 (임차보증금의 90% 범위 내)
  - 대출이자: 소득별 차등 지원
- **신청 방법**: 부산청년플랫폼 온라인 신청
- **문의**: [부산청년플랫폼](https://young.busan.go.kr/index.nm?menuCd=0)

---

이 두 가지 정책이 부산에서 청년 임차보증금 이자 지원을 받을 수 있는 좋은 기회가 될 수 있습니다. 더 궁금한 점이 있으면 언제든지 문의해 주세요! 😊",10.0,10.0,,
부산 IT 전공 4학년인데 취업장려금 지원사업이 궁금합니다,"안녕하세요! 부산에서 IT 전공 4학년이시라면, ""부산지역인재 장학금 및 취업장려금"" 지원사업이 도움이 될 수 있습니다. 이 사업은 부산지역 대학의 IT 및 상경 분야 대학생 3, 4학년을 대상으로 생활장학금과 취업장려금을 지원합니다.

**지원대상 및 자격:**
- 부산지역 대학의 IT 및 상경 분야 3, 4학년 학생
- 직전학기 12학점 이상 이수 및 성적 3.5 이상 (4.5 만점 기준)
- 한국장학재단 학자금 지원구간의 소득 9분위 이하인 자

**지원내용:**
- 생활장학금: 1인당 150만원
- 취업장려금: 생활장학금 수혜자 중 졸업 후 지역기업에 입사하여 12개월 이상 취업을 유지하는 경우 1회 150만원 추가 지급

**신청기간:**
- 2025년 5월 1일부터 6월 30일까지

이 사업은 부산광역시에서 주관하며, 세부 일정은 2025년 5월 이후에 공고될 예정입니다. 더 궁금한 사항이 있으면 언제든지 문의해 주세요! 😊","안녕하세요! 부산에서 IT 전공을 하고 계신 4학년 학생이시군요. 😊

부산 지역에서 IT 전공 대학생을 위한 취업장려금 지원사업에 대해 안내드릴게요.

---

### 부산지역인재 장학금 및 취업장려금
- **정책명:** 부산지역인재 장학금 및 취업장려금
- **정책 설명:** 부산지역 대학의 IT 및 상경 분야 대학생 3,4학년(전문대학 2학년)을 대상으로 생활장학금과 취업장려금을 지급합니다. 2025년 사업의 세부 일정은 5월 이후 공고될 예정입니다.
- **지원 내용:**
  - 생활장학금: 1인당 150만원
  - 취업장려금: 생활장학금 수혜자 중 졸업 후 지역기업에 입사하여 12개월 이상 취업을 유지하는 경우 추가 지급(1회 150만원)
- **신청 방법:** 자세한 신청 방법은 아직 공고되지 않았으니, [부산청년플랫폼](https://young.busan.go.kr/index.nm?menuCd=164)을 통해 최신 정보를 확인하세요.
- **문의 횟수:** 19회

---

이 정책은 부산 지역의 IT 전공 대학생인 당신에게 적합한 지원 프로그램입니다. 추가적인 정보나 문의가 필요하시면 부산청년플랫폼을 방문하시거나 관련 기관에 직접 문의해보세요. 도움이 되셨길 바랍니다! 😊",9.0,9.0,,
면접 정장 무료 대여 어디서 신청하나요?,"면접 정장 무료 대여를 신청하는 방법은 거주 지역에 따라 다릅니다. 아래에서 해당 지역에 맞는 정책을 확인하시고 신청해 보세요.

1. **제천시**:
   - **정책명**: 면접정장 무료대여 지원사업
   - **신청방법**: 제천시 일자리종합지원센터를 방문하여 신청합니다. 내토로 441, 고용복지플러스센터 1층 15번 창구에서 신청할 수 있습니다.
   - **필요서류**: 신청서, 신분증 사본, 거주사실 증빙서류, 면접예정 증빙서류

2. **대전광역시**:
   - **정책명**: 구직청년 면접용 정장대여사업
   - **신청방법**: 대여업체와 사전 연락 후 온라인으로 신청합니다. 대전청년내일재단 홈페이지에서 신청할 수 있습니다.
   - **필요서류**: 주민등록등본, 고용보험자격이력내역서 또는 주 30시간 미만 근로계약서, 면접 증빙서류

3. **광주광역시**:
   - **정책명**: 면접정장 무료대여
   - **신청방법**: 광주청년통합플랫폼에서 회원가입 후 온라인 신청서를 작성합니다.
   - **필요서류**: 신청서, 개인정보제공 동의서, 손해배상책임 청구지급 동의서, 주민등록등본, 신분증 사본, 면접증빙서류

4. **의왕시**:
   - **정책명**: 의왕시 청년옷장(면접정장 무료대여서비스)
   - **신청방법**: 잡아바어플라이 통합접수시스템을 통해 온라인 접수만 가능합니다.
   - **필요서류**: 신분증(의왕시 주소 필수), 면접증빙서류

5. **경상남도**:
   - **정책명**: 경상남도 청년 면접정장 무료대여
   - **신청방법**: 서비스 이용 신청 후 대여승인 및 안내를 받습니다.
   - **필요서류**: 경남에 주소를 둔 청년으로서 취업 면접 참여자

각 지역별로 신청 방법과 필요 서류가 다르니, 거주 지역에 맞는 정책을 확인하시고 준비해 주세요. 면접 준비에 도움이 되길 바랍니다!","안녕하세요! 😊 면접 정장 무료 대여에 대한 정보를 찾으셨군요. 아래에 몇 가지 정책을 소개해드릴게요.

---

### 1. 면접정장 무료대여
- **설명**: 청년들의 취업활동에 따른 구직비용 절감 및 경제적 부담완화를 위해 무료로 면접 정장을 대여하는 서비스입니다.
- **지역**: 광주광역시
- **신청 방법**: [광주청년통합플랫폼](https://youth.gwangju.go.kr)에서 회원가입 후 온라인 신청서를 작성하세요.

---

### 2. 청년 정장 대여 지원사업
- **설명**: 면접일, 결혼식, 장례식 등 특정일에만 입는 정장을 무료로 대여합니다.
- **지역**: 충청남도 아산시
- **신청 방법**: [청년아지트 나와유 홈페이지](https://www.asan.go.kr/naeil/page/?page=030100)에서 신청하세요.

---

### 3. 면접정장 무료대여 지원사업
- **설명**: 취업난과 구직활동 부담 등 경제적 어려움을 겪고 있는 구직자에게 면접에 필요한 정장을 대여합니다.
- **지역**: 충청북도 제천시
- **신청 방법**: 일자리종합지원센터 방문

---

이 외에도 다양한 지역에서 면접 정장 대여 서비스를 제공하고 있으니, 거주 지역에 맞는 정책을 선택해보세요. 추가 문의가 필요하시면 언제든지 말씀해 주세요! 😊",10.0,9.0,,
청년 창업 지원금 받을 수 있는 프로그램 추천해줘,"안녕하세요! 청년 창업을 위한 지원 프로그램을 찾고 계시군요. 아래 몇 가지 프로그램을 추천드릴게요.

1. **청년 창업지원자금 융자지원**
   - **지원내용:** 신성장동력산업 및 고부가가치 창업 분야에 집중 지원하며, 최대 1억 원까지 융자 가능합니다. 융자금리는 연 3.0% 고정이며, 융자기간은 1년 거치 4년 균분상환입니다. 여성기업 또는 장애인기업은 0.5% 금리 우대를 받을 수 있습니다.
   - **신청방법:** 충청북도 기업진흥원 공고 확인 후 온라인, 우편, 방문 접수 가능합니다.
   - **신청기간:** 2025년 1월 6일부터 자금 소진 시까지
   - **지원대상:** 만 20세에서 39세 사이의 (예비)창업자, 충청북도 거주자

2. **청년 소상공인 창업응원금 지원**
   - **지원내용:** 창업 초기 정착을 위한 창업응원금 30만 원(1회, 현금 지급)과 창업 관련 교육 지원을 제공합니다.
   - **신청방법:** 이메일(cbsb976@naver.com) 또는 방문 접수(우편 접수 불가)로 신청 가능합니다.
   - **지원대상:** 만 19세에서 39세 사이의 (예비)창업자, 충청북도 거주자

3. **청년창업 특례보증**
   - **지원내용:** 업체당 최대 5천만 원의 특례보증과 이자 지원(3% 1년간)을 통해 자금 문제를 완화합니다. 보증비율은 100%이며, 보증료율은 연 0.5%입니다.
   - **신청방법:** 광주신용보증재단 홈페이지에서 상담 예약 후 방문 접수
   - **신청기간:** 2025년 3월 12일부터 자금 소진 시까지
   - **지원대상:** 만 39세 이하, 업력 7년 이내의 광주광역시 소재 청년 창업기업

이 외에도 다양한 지원 프로그램이 있으니, 관심 있는 프로그램의 세부 사항을 확인하신 후 신청해 보세요. 창업 여정에 큰 도움이 되시길 바랍니다!","안녕하세요! 청년 창업 지원금을 받을 수 있는 프로그램을 추천해드릴게요. 😊

---

### 1. 청년 소상공인 창업응원금 지원
- **설명**: 청년 창업 기업의 초기 정착을 지원하여 자생력 강화 및 건강한 창업생태계 조성을 위한 창업응원금 및 교육 지원
- **지원 내용**: 기업당 창업응원금 30만원 지원(1회, 현금 지급) 및 창업 관련 교육 지원
- **신청 방법**: 충청북도기업흥원 홈페이지에서 공고문 확인 후 이메일 또는 방문 접수
- **지역**: 충청북도

---

### 2. 청년 창업지원자금 융자지원
- **설명**: 우수한 창업기업 발굴 육성을 통해 청년창업가를 육성
- **지원 내용**: 신성장동력산업 및 고부가가치 창업분야에 대한 융자 지원 (최대 1억원, 연 3.0% 고정금리)
- **신청 방법**: 충청북도 기업진흥원 공고 확인 후 온라인, 우편, 방문 접수
- **지역**: 충청북도

---

### 3. 지식재산 기반 창업촉진(IP 디딤돌 프로그램)
- **설명**: 개인 및 예비창업자를 대상으로 창의적 아이디어를 기술적으로 발전시켜 사업아이템을 도출하고, 지식재산 컨설팅 및 권리화 지원
- **지원 내용**: 지역별 예비창업자의 아이디어에 대한 기초상담, 창업아이템으로의 고도화/권리화 지원
- **신청 방법**: 소재지 지역별 지식재산센터를 통한 상담 및 신청
- **지역**: 전국

---

### 4. 창업보육센터 지원
- **설명**: 다양한 맞춤형 창업기업 육성 및 지원
- **지원 내용**: 각종 창업 교육 및 사업추진 운영 경비 지원
- **지역**: 전국

---

이 외에도 궁금한 점이 있거나 추가적인 도움이 필요하시면 언제든지 문의해 주세요! 😊",9.0,9.0,,
경북 청년애꿈 수당 신청 자격이 어떻게 돼?,"안녕하세요! 경북 청년애꿈 수당에 대해 궁금하신 점을 해결해드릴게요.

**경북 청년애꿈 수당**은 경상북도 내 청년 미취업자와 청년 근로자를 지원하여 고용 촉진 및 장기근속을 유도하는 정책입니다. 이 수당은 면접수당, 취업성공수당, 근속장려수당으로 나뉘어 있습니다.

**신청 자격:**

1. **면접수당**
   - 2024년 12월 31일까지 경상북도에 주민등록이 되어 있는 미취업 청년
   - 2025년 1월 1일부터 12월 31일까지 도내 중소·중견기업에 면접을 본 자
   - 면접일 기준 미취업, 미창업자

2. **취업성공수당**
   - 2023년 12월 31일까지 경상북도에 주민등록이 되어 있는 자
   - 2024년 1월 1일 이후 도내 중소·중견기업에 생애 최초 취업한 청년
   - 근로계약 체결 및 4대 보험 가입
   - 월소득이 2025년 최저임금 이상 ~ 기준중위소득 150% 이하인 자

3. **근속장려수당**
   - 2023년 12월 31일까지 도내 중소·중견기업에 취업하여 현재 재직 중인 청년
   - 근로계약 체결 및 4대 보험 가입
   - 월소득이 2025년 최저임금 이상 ~ 기준중위소득 150% 이하인 자

**신청 방법:**
- 온라인 접수: [경북 청년애꿈 수당 홈페이지](https://gbwork.kr) 또는 [청년애꿈수당.kr](https://청년애꿈수당.kr)
- 신청 기간: 2025년 4월 22일부터 예산 소진 시까지

**필요 서류:**
- 공통: 부정수급확약서, 개인정보 수집·이용·제공동의서
- 각 수당별로 추가 서류가 필요합니다. (예: 주민등록초본, 면접확인서 등)

궁금한 점이 더 있으시면 언제든지 문의해주세요! 😊","안녕하세요! 😊 경북 청년애꿈 수당에 대해 궁금하셨군요. 이 정책은 경상북도에 거주하는 청년 미취업자와 청년 근로자를 대상으로 하는 지원 프로그램입니다. 

### 경북 청년애꿈 수당
- **정책 설명**: 도내 청년 미취업자와 청년 근로자의 복지지원을 통해 고용 촉진 및 장기근속 유도 등 청년실업 문제 해결과 안정적인 생활을 지원합니다.
- **지원 내용**:
  - **면접수당**: 면접 1회당 7만원 (최대 5회, 35만원)
  - **취업성공수당**: 50만원 (1인 1회 한정)
  - **근속장려수당**: 120만원 지급(분기별 30만원씩, 1인 1회 한정)
- **신청 방법**: 온라인 접수(https://gbwork.kr 또는 https://청년애꿈수당.kr)
- **신청 기간**: 2025년 4월 22일부터 예산 소진 시까지

이 정책은 경상북도에 거주하는 청년들에게 매우 유용한 지원 프로그램입니다. 더 궁금한 점이 있으면 언제든지 문의해 주세요! 😊",10.0,8.0,,
광주 남구 자격증 취득 지원 정책 알려주세요,"안녕하세요! 광주 남구에서 제공하는 자격증 취득 지원 정책에 대해 안내드릴게요.

**정책명:** 자격증 취득 지원(광주 남구)

**지원내용:** 광주 남구에 거주하는 미취업 청년에게 자격증 시험 응시료를 지원합니다. 1인당 연 2회, 최대 20만원까지 지원받을 수 있습니다. 지원 가능한 분야는 국가기술자격증(540종), 어학(16종), 한국사 등이 포함됩니다. 어학 시험으로는 토익, 토익스피킹, 토플, 아이엘츠, 오픽, 텝스, 지텔프 등이 있으며, 한국사능력검정시험도 지원됩니다.

**신청기간:** 2025년 2월 3일(월) 09:00부터 12월 15일(월) 24:00까지입니다. 예산이 소진될 경우 조기 종료될 수 있으니 서둘러 신청하세요!

**지원대상:** 광주 남구에 주민등록이 되어 있는 19세에서 39세 사이의 미취업 청년이 대상입니다.

**신청방법:** 방문 또는 이메일로 신청할 수 있습니다.
- **방문 신청:** 남구청 일자리정책과 청년정책팀(남구 봉선로 1, 6층)
- **이메일 신청:** swim0312@korea.kr

이 정책이 여러분의 자격증 취득에 도움이 되길 바랍니다. 추가로 궁금한 점이 있다면 언제든지 문의해주세요!","안녕하세요! 😊 광주 남구에서 자격증 취득을 지원하는 정책에 대해 안내드릴게요.

---

### 1. 자격증 취득 지원(광주 남구)
- **정책 설명**: 2025년 광주 남구 미취업 청년을 대상으로 자격증 취득을 지원합니다.
- **지원 내용**: 자격증 시험 응시료를 1인당 연 2회, 최대 20만원 한도로 지원합니다.
- **지원 분야**: 국가기술자격증(540종), 어학(16종), 한국사 등
- **신청 방법**: 방문 또는 이메일 신청
  - **방문**: 남구청 일자리정책과 청년정책팀(남구 봉선로 1, 6층)
  - **이메일**: swim0312@korea.kr
- **문의**: 남구청 일자리정책과 청년정책팀

---

### 2. 2025 구직청년 자격증 취득지원
- **정책 설명**: 구직활동에 필요한 자격시험 응시료를 지원하여 미취업 청년들의 경제적 부담을 완화하고 능력개발을 지원합니다.
- **지원 내용**: 어학(능력)시험, 국가기술자격증, 국가공인자격증, 국가전문자격증 중 1회 시험 응시료를 최대 10만원까지 지원합니다.
- **신청 방법**: 광주청년통합플랫폼 온라인 신청
  - **웹사이트**: [광주청년통합플랫폼](https://youth.gwangju.go.kr)

---

이 두 가지 정책이 광주 남구에 거주하는 미취업 청년에게 자격증 취득을 지원하는 데 도움이 될 것입니다. 추가 문의가 필요하시면 해당 기관에 직접 연락해보세요! 😊",10.0,9.0,,
