정책번호,정책제공방법코드,정책명,정책키워드명,정책설명내용,정책대분류명,정책중분류명,정책지원내용,주관기관코드명,운영기관코드명,신청기간구분코드,사업기간구분코드,사업기간시작일자,사업기간종료일자,사업기간기타내용,정책신청방법내용,심사방법내용,신청URL주소,제출서류내용,기타사항내용,참고URL주소,참고URL주소,지원도착순서여부,지원대상최소연령,지원대상최대연령,결혼상태코드,소득조건구분코드,소득기타내용,추가신청자격조건내용,참여제안대상내용,조회수,정책거주지역코드,정책전공요건코드,정책취업요건코드,정책학력요건코드,신청기간,정책특화요건코드,신청시작일,신청마감일,정책세부분류명,원래_정책거주지역코드
20250520005400210862,바우처,부산 청년돌봄이음,바우처,고립·은둔 청년 및 가족돌봄 청(소)년 지원,기타,취약계층 및 금융지원,"1. 청년 돌봄이음 시범사업: 초기상담, 성장 계획 작성 및 모니터링, 자조모임, 관계 회복, 학업 및 진로탐색, 지역사회 자원 연계 등 서비스 제공  
2. 청년 지원 정책 정보 공유  
3. 일상돌봄 서비스 연계 및 장학금 지원 등 대상자 조건에 따른 지원",부산광역시,,상시,특정기간,20250101,2025-12-31,,"부산사회서비스원 홈페이지 온라인 신청  
- 고립은둔 청년 지원 신청: https://busan.pass.or.kr/support/sub6.php  
- 가족돌봄 청(소)년 지원 신청: https://busan.pass.or.kr/support/sub6_2.php",nan,https://busan.pass.or.kr/support/sub6.php,"대상자 선정을 위한 추가서류 요청 가능  
- 가족돌봄 필요성: 진단서·소견서 등 증빙  
- 청년의 돌봄전담: 주민등록상 동거가족 증빙, 재직증명서 중 1개",nan,,,N,18.0,39.0,제한없음,기타,신청페이지 상세안내 확인,"1. 고립·은둔 청년 지원  
- 정의: 부산시 거주 18~39세 청년으로, 집에서 나오지 않거나 기댈 사람이 없는 경우  
- 선정기준: 자가진단 테스트 및 설문 내용 토대로 기초 상담 후 선정  

2. 가족돌봄 청(소)년 지원  
- 정의: 돌봄이 필요한 가족과 함께 거주하며 돌봄을 전담하는 부산시 거주 19~39세 청(소)년  
- 선정기준: 가족돌봄 필요성과 청년의 돌봄전담 요건 모두 충족",nan,16,"부산광역시 중구, 부산광역시 서구, 부산광역시 동구, 부산광역시 영도구, 부산광역시 부산진구, 부산광역시 동래구, 부산광역시 남구, 부산광역시 북구, 부산광역시 해운대구, 부산광역시 사하구, 부산광역시 금정구, 부산광역시 강서구, 부산광역시 연제구, 부산광역시 수영구, 부산광역시 사상구, 부산광역시 기장군",제한없음,제한없음,제한없음,,제한없음,,,기타,"26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710"
20250519005400210852,계약(위탁운영),희망두배 청년통장,금리혜택,청년의 자립지원을 통해 저소득 근로청년의 자립의욕을 고취하는 정책입니다.,기타,취약계층 및 금융지원,"- 본인저축액: 월 15만원  
- 매칭지원액: 본인저축액과 동일한 금액 매월 적립  
- 약정기간: 24개월(2년) 또는 36개월(3년) 중 선택  
- 적립금 총액: 2년 약정 시 총 720만원, 3년 약정 시 총 1,080만원  
- 저축방법: 매월 자동이체",돌봄고독정책관,,특정기간,특정기간,20250101,2025-12-31,,"- 신청기간: 2025년 6월 9일(월) ~ 6월 20일(금) 18:00  
- 신청방법: 온라인 신청(PC만 가능)",정보 없음,https://account.welfare.seoul.kr,정보 없음,"- 사업 근거: 「서울특별시 주민생활안정 지원에 관한 조례」제4ㆍ5조 및 시행규칙 제2ㆍ3조  
- 희망두배 청년통장 자립지원 계획(행정1부시장방침 제56호, ’15.6.6)  
- 추진 경과: 2015년 1,000명으로 시작하여 2023~2024년 10,000명으로 확대  
- 사업 기간: 2025년 1월 ~ 2025년 12월  
- 사업비: 46,307백만원 (시비 45,307, 민간재원 1,000)",https://youth.seoul.go.kr/content.do?key=2310100069,,N,18.0,34.0,제한없음,기타,"- 본인소득: 세전 월 255만원 이하  
- 부양의무자: 고소득 1억원, 고재산 9억원 미만",정보 없음,정보 없음,475,"서울특별시 종로구, 서울특별시 중구, 서울특별시 용산구, 서울특별시 성동구, 서울특별시 광진구, 서울특별시 동대문구, 서울특별시 중랑구, 서울특별시 성북구, 서울특별시 강북구, 서울특별시 도봉구, 서울특별시 노원구, 서울특별시 은평구, 서울특별시 서대문구, 서울특별시 마포구, 서울특별시 양천구, 서울특별시 강서구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 영등포구, 서울특별시 동작구, 서울특별시 관악구, 서울특별시 서초구, 서울특별시 강남구, 서울특별시 송파구, 서울특별시 강동구",제한없음,재직자,제한없음,20250609 ~ 20250620,기타,2025-06-09,2025-06-20,기타,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740"
20250519005400210851,프로그램,서울 영테크,맞춤형상담서비스,청년의 경제적 자립을 지원하기 위한 금융교육 및 재무상담 제공,일자리(교육),취약계층 및 금융지원,"- 무료 재무상담: 대면 및 비대면 방식으로 재무진단, 소득지출관리, 투자관리, 신용관리 등 맞춤형 재무설계 지원
- 금융교육: 경제상식, 금융투자, 부동산, 신용관리 등 분야별 강의
- 커뮤니티 운영 및 사업 홍보: 영테크 홍보단 운영, 온라인 커뮤니티 및 SNS 활용",청년사업담당관,,특정기간,특정기간,20250101,2025-12-31,,영테크 홈페이지에서 신청 가능,nan,https://youth.seoul.go.kr/youngtech/main,정보제공 동의(주민등록등본 정보 제공: 서울시 거주 여부) 시 별도의 신청 서류 없음,"- 사업 근거: 청년기본법 제22조, 서울시 청년 기본 조례 제14조
- 추진 경과: 2021년 11월부터 사업 개시, 2024년 4월 재무정보 시스템 운영 개시 예정
- 사업비: 2,950백만원 (지방비)",,,N,19.0,39.0,제한없음,무관,nan,"- 재무상담: 서울시에 주소지가 등록된 만 19~39세 청년
- 금융교육: 서울시에서 생활하는 만 19~39세 청년",nan,26,"서울특별시 종로구, 서울특별시 중구, 서울특별시 용산구, 서울특별시 성동구, 서울특별시 광진구, 서울특별시 동대문구, 서울특별시 중랑구, 서울특별시 성북구, 서울특별시 강북구, 서울특별시 도봉구, 서울특별시 노원구, 서울특별시 은평구, 서울특별시 서대문구, 서울특별시 마포구, 서울특별시 양천구, 서울특별시 강서구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 영등포구, 서울특별시 동작구, 서울특별시 관악구, 서울특별시 서초구, 서울특별시 강남구, 서울특별시 송파구, 서울특별시 강동구",제한없음,제한없음,제한없음,20250301 ~ 20251130,제한없음,2025-03-01,2025-11-30,기타,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740"
20250517005400210839,프로그램,부산 청년 소셜 다이닝,교육지원,공통의 관심사를 가진 청년들이 전문가와 함께 음식을 만들고 식사를 하며 진로 및 고민 상담을 통해 성장할 수 있는 소통의 장을 마련합니다.,기타,"청년참여,정책인프라구축","- 모집인원: 프로그램 회차별 8명(2인 1조, 총 4개조)  
- 장소: 부산청년센터 공유주방(3층, 모락마루)  
- 신청방법: 청년플랫폼 온라인 신청, 간단한 자기소개글 및 사진파일 첨부 가능  
- 참여자 선정: 회차별 주제에 부합하는 신청자 중 추첨, 2회차 이후 중복 참여자 제외, 신청 마감일 다음날 개별 통보",부산광역시,,상시,특정기간,20250401,2025-12-31,,부산청년플랫폼 온라인 신청,nan,,nan,nan,https://young.busan.go.kr/index.nm?menuCd=276,,Y,18.0,39.0,제한없음,무관,nan,nan,nan,42,"부산광역시 중구, 부산광역시 서구, 부산광역시 동구, 부산광역시 영도구, 부산광역시 부산진구, 부산광역시 동래구, 부산광역시 남구, 부산광역시 북구, 부산광역시 해운대구, 부산광역시 사하구, 부산광역시 금정구, 부산광역시 강서구, 부산광역시 연제구, 부산광역시 수영구, 부산광역시 사상구, 부산광역시 기장군",제한없음,제한없음,제한없음,,제한없음,,,기타,"26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710"
20250517005400210838,프로그램,부산 청년활동 마일리지,교육지원,청년들의 시정 참여 활동에 마일리지를 부여하여 자발적인 정책 참여를 유도하고 청년 주도의 정책 홍보를 활성화합니다.,기타,"청년참여,정책인프라구축","부산 시정 참여에 따라 연 최대 10만 포인트(동백전)를 지원하며, 시정홍보, 봉사활동, 시·군·구 주관 교육·행사 참여 시 적립됩니다. 포인트는 부산 내 동백전 가맹점에서 사용 가능합니다.",부산광역시,,상시,특정기간,20250101,2025-12-31,,부산청년플랫폼에서 청년활동마일리지 적립 신청서를 작성하고 증빙자료를 첨부합니다.,신청내용과 증빙자료의 적정여부를 확인하여 항목별로 마일리지를 적립합니다.,https://young.busan.go.kr/mileagesave/add.do?menuCd=250&mn2=248,nan,"마일리지 1점은 1포인트(=1원)로 전환되며, 최초 전환은 3만점 이상부터 가능하고 이후에는 1만점 이상부터 가능합니다. 포인트는 동백전 App 내 정책 지원금 형태로 지급되며, 오프라인 결제만 가능합니다. 동백전 카드 발급이 필요하며, 기존 카드도 사용 가능합니다.",https://young.busan.go.kr/index.nm?menuCd=248,https://busandong100.kr/,N,18.0,39.0,제한없음,무관,nan,nan,nan,11,"부산광역시 중구, 부산광역시 서구, 부산광역시 동구, 부산광역시 영도구, 부산광역시 부산진구, 부산광역시 동래구, 부산광역시 남구, 부산광역시 북구, 부산광역시 해운대구, 부산광역시 사하구, 부산광역시 금정구, 부산광역시 강서구, 부산광역시 연제구, 부산광역시 수영구, 부산광역시 사상구, 부산광역시 기장군",제한없음,제한없음,제한없음,,제한없음,,,기타,"26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710"
20250516005400210832,기타,경북 청년애꿈 수당,"바우처,장기미취업청년",도내 청년 미취업자와 청년 근로자의 복지지원을 통해 고용 촉진 및 장기근속 유도 등 청년실업 문제 해결과 안정적인 생활을 지원합니다.,일자리(교육),취업,"- 면접수당: 면접 1회당 7만원 (최대 5회, 35만원)
- 취업성공수당: 50만원 (1인 1회 한정)
- 근속장려수당: 120만원 (분기별 30만원씩, 1인 1회 한정)",경상북도,,특정기간,기타,        ,,연중,"- 온라인 접수: https://gbwork.kr 또는 https://청년애꿈수당.kr
- 신청기간: 2025. 4. 22. ~ 예산 소진 시까지 (근속장려수당: 2025. 5. 13. 18:00까지)","- 면접수당, 취업성공수당: 신청일의 익월 말일경 지급
- 근속장려수당: 대상 선정 후 매분기 종료 후 익월 말일경 지급
- 수당 지급 요건을 충족한 선정대상자에 한함",https://gbwork.kr,"- 공통서류: 부정수급확약서, 개인정보 수집·이용·제공동의서
- 면접수당: 주민등록초본, 면접확인서, 채용공고문, 통장사본
- 취업성공수당: 주민등록초본, 4대보험가입내역확인서, 건강보험료 납부확인서, 중소 또는 중견기업확인서, 통장사본, 근로계약서, 건강보험자격득실확인서
- 근속장려수당: 주민등록초본, 4대보험가입내역확인서, 건강보험료 납부확인서, 중소 또는 중견기업확인서, 통장사본, 건강보험자격득실확인서","- 지원규모: 면접수당 350건, 취업성공수당 67명, 근속장려수당 530명",https://xn--cw0b41ar1bn06a70dmvn.kr/business/view/76,,N,19.0,39.0,제한없음,기타,"- 취업성공수당, 근속장려수당: 월소득 2025년 최저임금 이상 ~ 기준중위소득 150%(3,588,020원)이하인 자","- 면접수당: 2024. 12. 31.까지 경상북도 내 주민등록된 미취업청년, 2025. 1. 1. ~ 12. 31. 도내 중소·중견기업 면접 응시자, 면접일 기준 미취업, 미창업자
- 취업성공수당: 2023. 12. 31.까지 경상북도 내 주민등록된 자, 2024. 1. 1. 이후 도내 중소·중견 기업에 생애 최초 취업한 청년, 근로계약 체결 및 4대 보험 가입, 월소득 2025년 최저임금 이상 ~ 기준중위소득 150% 이하인 자
- 근속장려수당: 2023. 12. 31.까지 도내 중소·중견 기업에 취업하여 현재 재직 중인 청년, 근로계약 체결 및 4대 보험 가입, 월소득 2025년 최저임금 이상 ~ 기준중위소득 150% 이하인 자","- 청년애꿈수당 기 참여자(면접수당 제외), 중앙정부, 타 지자체 유사사업 참여자
- 경상북도 청년복지사업 참여자
- 월 급여총액이 기준중위소득 150% 초과자, 사업자등록자, 대한민국 국적 미보유자, 현역 보충역, 국가근로장학생, 성과급 위주 직종 참여자
- 사업대상자 선정 이후 이직 또는 퇴사한 자(면접수당 제외)
- 기타 경북 청년愛꿈 사업 취지에 부적합한 참여자",43,경상북도,제한없음,"재직자, 미취업자",제한없음,20250422 ~ 20251231,중소기업,2025-04-22,2025-12-31,기타,"47111,47113,47130,47150,47170,47190,47210,47230,47250,47280,47290,47730,47750,47760,47770,47820,47830,47840,47850,47900,47920,47930,47940"
20250516005400210831,기타,전남청년 문화복지카드,보조금,도내 거주 청년의 문화생활과 자기계발을 지원합니다.,기타,문화활동,"연 25만원의 문화복지비를 지원하며, 공연 관람, 학원 수강, 도서 구입 등 전남 도내에서만 사용 가능합니다. 사용 기간은 카드 발급일부터 연말까지이며, 현금 교환 및 미사용 금액 이월은 불가합니다.",전라남도,,특정기간,특정기간,20250304,2025-12-31,,"방문 신청은 주민등록상 주소지 관할 주민센터에서 평일 근무시간에 가능합니다. 본인 방문이 어려운 경우 가족 대리 접수 가능하며, 위임장이 필요합니다. 온라인 신청은 시 거주자는 광주은행, 군 거주자는 농협카드 누리집에서 가능합니다. 본인 인증 절차로 인해 본인만 신청할 수 있습니다.",자격 요건에 부합하는 경우 시·군에서 선정 후 개별 통보합니다.,,"1. 신청서 1부  
2. 개인정보동의서 1부  
3. 주민등록초본 1부  
4. 건강보험자격득실확인서 1부  
행정정보 공동이용 동의 시 3, 4번 서류는 생략 가능합니다.",각 지역별 문의처가 제공됩니다. (예: 목포시 청년인구과 인구정책팀 061-270-8505),https://www.jeonnam.go.kr/J0203/boardView.do?seq=22560&infoReturn=&menuId=jeonnam0203000000&displayHeader=&searchType=0&searchText=%EB%B3%B5%EC%A7%80%EC%B9%B4%EB%93%9C&searchStDate=&searchEnDate=&pageIndex=1&boardId=J0203&displayHeader=,,N,18.0,27.0,제한없음,무관,해당 없음,"도내 2년 이상 거주한 1997~2006년 출생 청년으로, 소득 기준은 없습니다.","1. 복지포인트를 지급받는 공공기관 근무자  
2. 학교 밖 청소년 교육수당을 지급받았거나 지급받을 예정인 자  
3. 전라남도 여성농업인 바우처 대상자  
4. 문화누리카드 지원대상자",161,전라남도,제한없음,제한없음,제한없음,20250304 ~ 20250630,제한없음,2025-03-04,2025-06-30,기타,"46110,46130,46150,46170,46230,46710,46720,46730,46770,46780,46790,46800,46810,46820,46830,46840,46860,46870,46880,46890,46900,46910"
20250515005400210830,보조금,부산 학자금 대출이자 지원,"교육지원,금리혜택","한국장학재단의 학자금대출을 받은 부산시 소재 대학교 대학생, 대학원생 및 대학교 졸업생 대상 대출이자 지원. 2025년 사업의 세부 일정은 7월 이후 공고 예정.",일자리(교육),교육비지원,"2024년 7월부터 2025년 6월까지 발생한 학자금대출 이자 지원. 대출 종류에 상관없이 지원하며, 신청액이 예산을 초과할 경우 소득분위별로 차등 지원. 발생이자 금액만큼 한국장학재단을 통해 대출계좌별 원리금에 상환 처리.",부산광역시,,특정기간,특정기간,20250701,2025-12-31,,신청기간은 2025년 7월부터 8월까지 예정.,nan,,nan,"이자지원 관련 문의는 부산시 120 콜센터(☎051-120), 학자금대출 관련 문의는 한국장학재단(☎1599-2000).",https://young.busan.go.kr/index.nm?menuCd=49,,N,18.0,39.0,제한없음,기타,공고문 확인.,"한국장학재단의 학자금대출을 받은 부산시 소재 대학교 대학생, 대학원생 및 대학교 졸업생 중 아래 요건에 해당하는 자. 대학(원)생은 공고일 기준 부산지역 소재 대학(원)에 재학, 휴학 중인 자. 대학교 졸업생은 공고일 기준 주민등록상 부산시 거주자이며, 부산시 소재 대학교 졸업 후 2년 이내 미취업자.",대학원 졸업생은 지원대상에서 제외. 대학 제적 또는 건강보험자격득실확인서 상 공고일 기준 건강보험 직장가입자인 졸업생은 지원대상에서 제외. 한국장학재단 홈페이지를 통해 본인의 대출잔액 또는 이자 면제 여부 확인 후 신청.,5,"부산광역시 중구, 부산광역시 서구, 부산광역시 동구, 부산광역시 영도구, 부산광역시 부산진구, 부산광역시 동래구, 부산광역시 남구, 부산광역시 북구, 부산광역시 해운대구, 부산광역시 사하구, 부산광역시 금정구, 부산광역시 강서구, 부산광역시 연제구, 부산광역시 수영구, 부산광역시 사상구, 부산광역시 기장군",제한없음,제한없음,대학 졸업,20250701 ~ 20250831,제한없음,2025-07-01,2025-08-31,기타,"26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710"
20250515005400210829,보조금,부산지역인재 장학금 및 취업장려금,"교육지원,보조금","부산지역 대학의 IT 및 상경 분야 대학생 3, 4학년(전문대학 2학년)을 대상으로 생활장학금과 취업장려금을 지급합니다. 2025년 사업의 세부 일정은 5월 이후 공고될 예정입니다.",일자리(교육),"취업,미래역량강화","- 지원대상: 부산지역 대학의 IT 및 상경 분야 대학생 3, 4학년(전문대학 2학년)
- 지원자격: 직전학기 12학점 이상 이수, 성적 3.5 이상(4.5 만점 기준), 한국장학재단 학자금 지원구간 소득 9분위 이하
- 지원내용: 생활장학금 1인당 150만원 지급, 졸업 후 지역기업에 12개월 이상 취업 시 취업장려금 150만원 추가 지급",부산광역시,,특정기간,특정기간,20250501,2025-12-31,,nan,nan,https://young.busan.go.kr/index.nm?menuCd=164,nan,nan,,,N,18.0,39.0,제한없음,무관,nan,nan,nan,19,"부산광역시 중구, 부산광역시 서구, 부산광역시 동구, 부산광역시 영도구, 부산광역시 부산진구, 부산광역시 동래구, 부산광역시 남구, 부산광역시 북구, 부산광역시 해운대구, 부산광역시 사하구, 부산광역시 금정구, 부산광역시 강서구, 부산광역시 연제구, 부산광역시 수영구, 부산광역시 사상구, 부산광역시 기장군","상경계열, 이학계열, 공학계열",제한없음,대학 재학,20250501 ~ 20250630,지역인재,2025-05-01,2025-06-30,기타,"26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710"
20250515005400210827,보조금,부산청년 기쁨두배통장,보조금,"부산시에 거주하는 일하는 청년이 매월 10만원을 24개월 또는 36개월 저축하면, 본인 저축액과 동일한 금액을 부산시에서 지원합니다. 2025년 사업의 상세 추진 일정은 7월 중 공고 예정입니다.",기타,취약계층 및 금융지원,"부산시에 거주하는 18세~39세 근로 청년을 대상으로, 청년 저축액 월 10만원에 대해 1:1 매칭 지원금을 지급하며, 온라인 금융 교육을 지원합니다.  
- 24개월 저축 시: 만기 수령액 480만원 (본인 저축액 240만원 + 시 지원금 240만원) + 이자  
- 36개월 저축 시: 만기 수령액 720만원 (본인 저축액 360만원 + 시 지원금 360만원) + 이자",부산광역시,,특정기간,특정기간,20250701,2025-12-31,,nan,nan,https://young.busan.go.kr/index.nm?menuCd=53,nan,nan,,,N,18.0,39.0,제한없음,기타,"기준중위소득 150%(2024년 기준)이며, 2025년 상세 내용은 7월 이후 공고 예정입니다.",nan,nan,124,"부산광역시 중구, 부산광역시 서구, 부산광역시 동구, 부산광역시 영도구, 부산광역시 부산진구, 부산광역시 동래구, 부산광역시 남구, 부산광역시 북구, 부산광역시 해운대구, 부산광역시 사하구, 부산광역시 금정구, 부산광역시 강서구, 부산광역시 연제구, 부산광역시 수영구, 부산광역시 사상구, 부산광역시 기장군",제한없음,"재직자, 자영업자",제한없음,20250701 ~ 20250731,제한없음,2025-07-01,2025-07-31,기타,"26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710"
