정책번호,정책제공방법코드,정책명,정책키워드명,정책설명내용,정책대분류명,정책중분류명,정책지원내용,주관기관코드명,운영기관코드명,신청기간구분코드,사업기간구분코드,사업기간시작일자,사업기간종료일자,사업기간기타내용,정책신청방법내용,심사방법내용,신청URL주소,제출서류내용,기타사항내용,참고URL주소1,참고URL주소2,지원도착순서여부,지원대상최소연령,지원대상최대연령,결혼상태코드,소득조건구분코드,소득기타내용,추가신청자격조건내용,참여제안대상내용,조회수,정책거주지역코드,정책전공요건코드,정책취업요건코드,정책학력요건코드,신청시작일자,신청종료일자,정책특화요건코드
20250520005400210862,현금지급,부산 청년돌봄이음,"제공기관,연계,서비스",고립·은둔 청년 및 가족돌봄 청(소)년 지원,복지문화,취약계층 및 금융지원,"1. 청년 돌봄이음 시범사업(제공기관 : 종합사회복지관) : 초기상담, 성장 계획 작성 및 모니터링, 자조모임, 관계 회복, 학업 및 진로탐색, 지역사회 자원 연계 등 지역 및 제공기관 특성을 고려한 서비스 제공
2. 청년 지원 정책 등 정보 공유
3. 일상돌봄 서비스 연계, 그 외 장학금 지원 등 대상자 조건에 따른 지원",부산광역시,,상시,특정기간,20250101,20251231,,"부산사회서비스원 홈페이지온라인 신청
○ 고립은둔 청년 지원 신청 : https://busan.pass.or.kr/support/sub6.php
○ 가족돌봄 청(소)년 지원 신청 : https://busan.pass.or.kr/support/sub6_2.php",,https://busan.pass.or.kr/support/sub6.php,"대상자 선정을 위해 필요한 추가서류 요청

가족돌봄 청(소)년의 경우,
① (가족돌봄 필요성) 진단서·소견서 등 증빙
② (청년의 돌봄전담) 돌봄 대상가족과 주민등록상 동거가족(실질적 동거 포함), 재직증명서(경제활동 증명) 中 1개 증빙
※ 증빙서류는 유효기간 내 또는 당해연도 발급분만 인정됨",,,,N,18,39,제한없음,기타,신청페이지 상세안내 확인,"1.고립·은둔 청년 지원
○ 정 의 : 힘들 때 기댈 사람이 없거나, 집(방)에서 나오지 않는 부산시 거주 18~39세(출생연도 1985년~2006년 기준) 청년
○ 선정기준 : 고립은둔 자가진단 테스트 및 고립은둔 상황 설문 내용 토대로 기초 상담 후 선정
　　　　※ 소득, 자산 기준은 없으며, 대상자 선정을 위해 필요한 추가서류 요청 가능

2.가족돌봄 청(소)년 지원
○ 정 의 : 돌봄이 필요한 아픈(또는 거동이 불편한) 가족과 함께 거주하면서 아픈 가족에 대한 돌봄을 전담하는 부산시 거주 19~39세(출생연도 1985년~2015년 기준) 청(소)년
○ 선정기준 : 아래 요건 ①과 요건 ② 모두 충족 시 해당 ※ 소득, 자산 기준 없음
○ 증빙서류
① (가족돌봄 필요성) 진단서·소견서 등 증빙
② (청년의 돌봄전담) 돌봄 대상가족과 주민등록상 동거가족(실질적 동거 포함), 재직증명서(경제활동 증명) 中 1개 증빙
※ 증빙서류는 유효기간 내 또는 당해연도 발급분만 인정됨",,16,부산광역시,제한없음,제한없음,제한없음,,,제한없음
20250519005400210855,상담,서울 청년 마음건강 지원사업,"2단계,마음건강,사후관리",우울·불안 등 정서적 어려움을 겪는 청년의 마음건강 회복,복지문화,건강," ㅇ (사업 내용) 2단계 선별검사로 과학적 진단을 통한 맞춤형 상담 지원
   - (진단) 1단계 사전검사(2종), 2단계 전문가 심화상담(1~6회) 거쳐 정밀한 상태 파악
   - (유형분류) 마음상태에 따라 일반/도움/잠재 임상군/임상군으로 판별 후 맞춤형 상담 지원
   - (사후관리) 유형군에 따른 마음관리 사후관리 프로그램 지원
",청년사업담당관,,특정기간,특정기간,20250101,20251231,,"총 4차(1월, 4월, 6월, 9월)에 걸쳐 참여자를 모집하며, 연도내 중복참여는 불가
- 2차 : 2025. 4. 14. ~ 2025. 4. 17.(조기마감)
※ 구체적인 일정은 향후 안내 예정이며 회차별 상담진행에 따라 달라질 수 있음",,,,"ㅇ (사업 근거)
   - 청년기본법 제21조(청년 복지증진)
   - 서울특별시 청년기본조례 제15조(청년의 생활안정), 제18조(청년의 건강증진)

 ㅇ (추진 경과)
   - 서울특별시 청년기본조례 ’청년의 건강증진‘ 조항 신설 : ’19. 5월
   - 청년마음·신체건강 청년자율예산 확정 : ’19. 12월
   - ’20년 청년마음건강 일대일 심층 상담 지원 : ’20.4월 ~ 12월
   - 보건복지부 사회보장협의 제도 신설 요청 : ’20. 11월
   - ’21~‘24년 청년마음 건강지원사업 추진 : ’21.4월 ~ ‘24.12월

 ㅇ (사업 기간) 2025. 1월 ~ 12월
  
 ㅇ (사 업 비) 5,767백만원 (지방비 5,767백만원)",https://youth.seoul.go.kr/youthConts.do?key=2310100076&sc_pbancSeCd=009&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200008&sc_qnaCtgryCd=&sc_faqCtgryCd=010&sc_hwStngSn=2501030001&sc_hwCtgrySn=0,,N,19,39,제한없음,무관,,"만 19세~39세 서울 거주 청년 중 심리지원이 필요한 청년(1985년생~2006년생)
(*의무복무 제대군인의 경우, 군 복무기간에 따라 최대 3년 연장 지원)

의무복무제대군인	
- 1년 미만 복무 : 만 40세(1984년생)까지
- 1년 이상 ~2년 미만 복무 : 만 41세(1983년생)까지
- 2년 이상 복무 : 만 42세(1982년생)까지
",,35,서울특별시,제한없음,제한없음,제한없음,20250201,20250930,기타
20250519005400210852,현금지급,희망두배 청년통장,"15만원,3년,2년","학자금 대출, 주거비, 비정규직 취업 등으로 어려움을 겪고 있는 청년의 자립지원을 통하여 저소득 근로청년의 자립의욕 고취",복지문화,취약계층 및 금융지원,"□ 본인저축액 : 월 15만원
□ 매칭지원액 : 본인저축액과 동일한 금액 매월 적립
□ 약정기간 : 24개월(2년) 또는 36개월(3년) 중 선택
□ 적립금 총액
ㅇ [15만원·2년] 총 720만원
ㅇ [15만원·3년] 총 1,080만원
□ 저축방법 : 매월 자동이체",돌봄고독정책관,,특정기간,특정기간,20250101,20251231,,"□ 신청기간 : 2025. 6. 9.(월) ~ 6. 20.(금) 18:00 ※ 신청기간 외 접수 불가
□ 신청방법 : 온라인 신청(PC만 신청 가능)",,https://account.welfare.seoul.kr,,"ㅇ (사업 근거)
   - 「서울특별시 주민생활안정 지원에 관한 조례」제4ㆍ5조 및 시행규칙 제2ㆍ3조
    - 희망두배 청년통장 저소득 근로청년 자립지원 계획(행정1부시장방침 제56호, ’15.6.6)

ㅇ (추진 경과)
   - 희망두배 청년통장 신규 출시(’15년 1,000명)
   - 희망두배 청년통장 선발 확대
     (’18년 2,000명, ’19~’20년 각 3,000명, ’21~’22 7,000명, ’23~’24 10,000명)
 
ㅇ (사업 기간)
   - ’25. 1월 ~ ’25. 12월
    
ㅇ (사업비) 46,307백만원 (시비 45,307, 민간재원 1,000) ",https://youth.seoul.go.kr/content.do?key=2310100069,,N,18,34,제한없음,기타,"-본인소득 : 세전 월 255만원 이하, 부양의무자: 고소득(1억원), 고재산(9억원) 미만",,,475,서울특별시,제한없음,재직자,제한없음,20250609,20250620,기타
20250519005400210851,상담,서울 영테크,"영테크,금융교육,소득지출관리",청년 금융교육 및 재무상담을 통한 경제적 자립 지원,복지문화,취약계층 및 금융지원,"무료 재무상담(대면, 비대면) 및 금융교육, 커뮤니티 운영
ㅇ (재무상담) 재무진단, 소득지출관리, 투자관리, 신용관리 등 맞춤형 재무설계 지원
  - 상담범위 : 재무진단, 소득지출관리, 투자상담, 금융상품분석, 신용부채관리 등
  - 상담방법 : (혼합상담) 대면상담과 화상, 전화 등 비대면상담을 혼합하여 진행 / (비대면상담) 화상, 전화, 이메일 등 비대면으로만 상담 진행
  - 상담종류 : (신규상담) 영테크 상담을 처음 받는 청년 (최대 3회 상담) / (연차상담) 영테크 상담을 이미 받은 청년 (최대 2회 상담)
※위 사항은 협의에 의해 변경 될 수 있음

ㅇ (금융교육) 경제상식, 금융투자, 부동산, 신용관리 등 분야별 강의 진행

ㅇ (사업홍보) 영테크 홍보단 운영, 온라인 커뮤니티 및 사회관계망 서비스 등 활용

ㅇ 문의처 : 02-1644-7747",청년사업담당관,,특정기간,특정기간,20250101,20251231,,,,https://youth.seoul.go.kr/youngtech/main,정보제공 동의(주민등록등본 정보 제공 : 서울시 거주 여부) 하신 경우 별도의 신청 서류는 없음,"ㅇ 사업 근거
   - 청년기본법 제22조(청년 금융생활 지원)
   - 서울시 청년 기본 조례 제14조(청년의 금융 생활 지원 등)

 ㅇ 추진 경과
   - 서울시장 공약사항 발표 : ’21. 4. 7(국회 기자회견, ’21. 2월)
   - 추진 방향 및 세부 운영 방안 위한 자문회의(5회) : ’21. 8~10월
   - 서울 영테크(청년 재테크 컨설팅 플랫폼) 추진계획 수립(’21. 8월)
   - 서울 영테크 사업 개시 : 비대면 상담(’21. 11월), 대면 상담(’22. 2월)
   - 서울 영테크 재무정보 시스템 운영 개시(’24. 4월~)
   - 서울 영테크 2.0 추진계획 수립(’24. 10월)

 ㅇ 사업 기간 : ’21. 11. ~ (계속)

 ㅇ (사업비) 2,950백만원 (지방비 2,950)",,,N,19,39,제한없음,무관,," ㅇ 재무상담 : 신청일자 기준으로 서울시에 주소지가 등록되어 있는 만 19~39세 청년
* 영테크 홈페이지에서 별도의 제출서류 없이 신청 가능합니다.
 ㅇ 금융교육 : 서울시에서 생활하는 청년(만19~39세)
* 금융교육 강좌별로 영테크 홈페이지 영테크 클래스 페이지에서 선착순으로 신청 가능합니다.",,26,서울특별시,제한없음,제한없음,제한없음,20250301,20251130,제한없음
20250517005400210845,현금지급,부산청년 만원플러스 문화패스,"10만원,1인,문화공연",부산 거주 청년 대상 1인 최대 10만원 문화공연 관람권 제공,복지문화,문화활동,"- 지원금액 : 1인 최대 10만원(1인 1회 예매) ▹공연기획사로 티켓 차액 지급
   (10만원권 7,500명, 5만원권 1,000명 ▹동시간대 10만원, 5만원 선착순 진행∙선정)
- 사업내용 : 지역 우수 문화공연을 1만원으로 관람할 수 있도록 지원",부산광역시,,특정기간,특정기간,20250528,20251231,,"□ 신청일시 : 2025. 5. 28.(수) 10:00 ~ 
※ 선착순 선정

□ 신청방법 : (온라인 신청) 동백전 앱 내 통합시민플랫폼을 통한 본인 신청
- 신청 전 준비사항
① 동백전 앱 설치(업데이트) 및 부산은행 동백전 카드 발급
② 디지털 시민증 발급 신청","선정 시 ""축하합니다"" 메시지 표시
- 동백전 앱 My 플랫폼 → 정책자금신청현황에서 확인",,,,https://young.busan.go.kr/index.nm?menuCd=234,,Y,18,39,제한없음,무관,,"① 신청일 기준 주민등록상 부산광역시 거주
② 18세 ~ 39세 (1986년~2007년생, 공고일 기준 해당연도)","2025년 청년문화예술패스 대상자(2006년생) ▷ 청년문화예술패스 사업 신청
2024년 사업선정자(부산청년만원문화패스, 청년문화예술패스) ▷ 1년 제외",109,부산광역시,제한없음,제한없음,제한없음,20250528,20250528,제한없음
20250517005400210839,상담,부산 청년 소셜 다이닝,"회차별,부합하는,함께","공통의 관심사를 가진 청년들이 전문가와 함께 음식을 만들고 식사를 하며 자연스러운 진로상담, 고민 상담 등을 통해 함께 성장할 수 있는 소통의 장을 마련",참여권리,"청년참여,정책인프라구축","- 모집인원 : 프로그램 회차별 8명(2인 1조, 총 4개조)
- 장 소 : 부산청년센터 공유주방(3층, 모락마루)
- 신청방법 : 청년플랫폼 온라인 신청 ※ 회차별 참여대상 부합하는 간단한 자기소개글 작성, 사진파일 등 첨부 가능
- 참여자 선정: 회차별 프로그램 주제에 부합하는 신청자 중 추첨 ※ 2회차 이후는 중복 참여자 제외
신청 마감일 다음날 추첨 결과(예비자 포함) 개별 통보",부산광역시,,상시,특정기간,20250401,20251231,,부산청년플랫폼 온라인 신청,,,,,https://young.busan.go.kr/index.nm?menuCd=276,,Y,18,39,제한없음,무관,,,,42,부산광역시,제한없음,제한없음,제한없음,,,제한없음
20250517005400210838,교육,부산 청년활동 마일리지,"동백전,부산,시정",청년들의 다양한 시정 참여 활동에 마일리지를 부여하여 청년들의 자발적인 정책 참여를 유도하고 청년이 주도하는 정책 홍보를 활성화,참여권리,"청년참여,정책인프라구축","부산 시정 참여에 따른 마일리지는 포인트(동백전)으로 부여, 연 최대 10만 포인트까지 지원
- 적립분야 : 시정홍보, 봉사활동, 시·군·구 주관 교육·행사 참여 
- 포인트(동백전)는 부산 내 동백전 가맹점에서 사용가능
",부산광역시,,상시,특정기간,20250101,20251231,,"부산청년플랫폼 ▶ 참여/권리 ▶청년활동마일리지
▶ 청년 활동 마일리지 적립 신청서 작성 (증빙자료 첨부)","신청내용, 증빙자료 등 적정여부 확인 및 항목별 마일리지 적립

- 포인트 전환 상시 신청(청년)
- 승인 및 포인트 지급(부산청년센터)
- 월2회 일괄 처리
① 매월 1일~15일까지 신청 건
▶ 25일 경 지급
② 16일~말일 신청건
▶ 다음달 10일 경 지급",https://young.busan.go.kr/mileagesave/add.do?menuCd=250&mn2=248,,"○ 마일리지 1점 당 1포인트(=1원)로, 적립된 마일리지는 포인트로 전환 신청하여 부산광역시 내 동백전 가맹점에서 사용 가능합니다.
- 매년 최초 전환 신청:마일리지 3만점 이상부터 전환 가능(10,000점 단위로 전환 가능)
- 최초 전환 이후 신청:마일리지 1만점 이상부터 전환 가능(10,000점 단위로 전환 가능)

○ 포인트는 동백전 App 내 정책 지원금 형태로 지급됩니다.
※동백전 App 설치 및 회원가입 필수

○ 지급된 포인트는 부산광역시 내 동백전 가맹점에서 사용가능합니다.
※오프라인 결제만 가능
※동백전 카드 발급 필요(기존 동백전 카드 사용 가능)
※동백전 가맹점 조회 → 동백전 App 또는 동백전",https://young.busan.go.kr/index.nm?menuCd=248,https://busandong100.kr/,N,18,39,제한없음,무관,,,,11,부산광역시,제한없음,제한없음,제한없음,,,제한없음
20250517005400210833,상담,부산 청년마음이음(일대일 상담),"일대일,상담,200명",마음 건강이 필요한 청년과 상담기관을 매치하여 일대일 상담 진행 ,복지문화,건강,"□ 상담분야 : 진로, 정서, 대인관계, 가족문제, 취업, 직무 스트레스, 성격, 기타 분야
□ 상담방법 : 신청 시 상담기관 선택, 개인별 5~7회, 본인이 희망하는 시간을 기준으로 매칭
□ 상담비용 : 무료
□ 상담인원 : 총 700명(1차 500명, 2차 200명)",부산광역시,,특정기간,특정기간,20250526,20251231,,"□ 신청방법 : 부산청년플랫폼(https://young.busan.go.kr/index.nm?menuCd=165)을 통한 온라인 신청
□ 신청기간
(1차) 2025. 5. 26.(월) 10:00 부터 * 선착순
(2차) 2025. 8월 중(예정) ",선착순 접수,,,"□ 상담기관
- 부산통합심리상담센터 : 부산시 수영구 수영로 410	(☎ 0507-1435-9091)
- 도은심리상담센터 : 부산시 연제구 중앙대로 1033 메디컬빌딩 13층	(☎ 051-863-6663)
- 안녕,마음심리상담연구소 : 부산시 해운대구 양운로42번길 12 가람프라자 7층 (☎ 051-701-5412)
- 마음의 봄 상담센터 : 부산시 연제구 중앙대로 1217 국제신문빌딩 2층 (☎ 0507-1360-7040)
- 마주심리상담소 : 부산시 해운대구 센텀중앙로 60 (☎ 0507-1336-2056)
- 위마인드 심리상담센터 : 부산시 동구 대영로243번길 43, 월드빌딩 602호 (☎ 051-977-9042)",https://young.busan.go.kr/index.nm?menuCd=165,,Y,18,39,제한없음,무관,," 부산광역시에 주민등록이 되어있으며, 마음건강 상담이 필요한 18~39세 청년",,7,부산광역시,제한없음,제한없음,제한없음,20250526,20250531,제한없음
20250516005400210832,현금지급,경북 청년애꿈 수당,"한정,1인,생활을",도내 청년 미취업자와 청년 근로자의 복지지원을 통해 고용 촉진 및 장기근속 유도 등 청년실업 문제 해결과 안정적인 생활을 지원,일자리,취업,"□ 면접수당 : 면접 1회당 7만원 (최대 5회, 35만원)
□ 취업성공수당 : 50만원 ※ 1인 1회 한정
□ 근속장려수당 : 120만원 지급(분기별 30만원씩) ※ 1인 1회 한정",경상북도,,특정기간,기타,,,연중,"□ 온라인 접수(https://gbwork.kr 또는 https://청년애꿈수당.kr)
□ 신청기간 : 2025. 4. 22.(화) ~ 예산 소진시 까지
※ 근속장려수당 : 2025. 5. 13.(화) 18:00","□ 지급일자
○ 면접수당, 취업성공수당 : 신청일의 익월 말일경 지급(+,- 10일 이내)
○ 근속장려수당 : 대상 선정 후 매분기 종료 후 익월 막일경 지급(+,- 10일 이내)
* 수당 지급 요건을 충족한 선정대상자에 한함",https://gbwork.kr,"□ 공통서류
① 부정수급확약서 1부
② 개인정보 수집·이용·제공동의서 1부

□ 면접수당
① 주민등록초본 1부
② 면접확인서 1부
③ 채용공고문 1부
④ 통장사본 1부

□ 취업성공수당
① 주민등록초본 1부
② 4대보험가입내역확인서 1부
③ 건강보험료 납부확인서, 건강보험료 산정금액 각 1부
④ 중소 또는 중견기업확인서 1부
⑤ 통장사본 1부
⑥ 근로계약서 1부
⑦ 건강보험자격득실확인서 1부

□ 근속장려수당
① 주민등록초본 1부
② 4대보험가입내역확인서 1부
③ 건강보험료 납부확인서, 건강보험료 산정금액 각 1부
④ 중소 또는 중견기업확인서 1부
⑤ 통장사본 1부
⑥ 건강보험자격득실확인서 1부","□ 지원규모
○ 면접수당 : 350건
○ 취업성공수당 :67명
○ 근속장려수당 : 530명",https://xn--cw0b41ar1bn06a70dmvn.kr/business/view/76,,N,19,39,제한없음,기타,"취업성공수당, 근속장려수당 : 월소득 2025년 최저임금 이상 ~ 기준중위소득 150%(3,588,020원)이하인 자","□ 면접수당
① 2024. 12. 31.까지 경상북도 내 주민등록 되어 있는 미취업청년
② 2025. 1. 1. ~ 12. 31. (1년간) 워크넷 등 공식적인 채용공고를 통해 도내 중소·중견기업에 면접을 응시한 자
※ 면접일로부터 6개월 이내 신청건에 한하여 지원
③ 면접일 기준 미취업, 미창업자

□ 취업성공수당
① 2023. 12. 31.까지 경상북도 내 주민등록 되어 있는 자
※ 취업 후 3개월 이내 경북으로 주소를 이전한 경우 신청 가능
② 2024. 1. 1. 이후 도내 중소·중견 기업에 생애 최초 취업한 청년
※ 취업 후 3개월 이후 신청 가능
③ 근로계약 체결 및 4대 보험 가입
④ 월소득 2025년 최저임금 이상 ~ 기준중위소득 150%(3,588,020원)이하인 자

□ 근속장려수당
① 2023. 12. 31.까지 도내 중소·중견 기업에 취업하여 현재 재직중이며 계속 도내 주민등록을 유지한 청년
※ 취업 후 3개월 이내 경북으로 주소를 이전한 경우 신청 가능
② 근로계약 체결 및 4대 보험 가입
③ 월소득 2025년 최저임금 이상 ~ 기준중위소득 150%(3,588,020원)이하인 자","○ 청년애꿈수당 기 참여자(단, 면접수당 제외) 또는 중앙정부, 타 지자체 유사사업에 참여 중이거나 참여했던 자
※ 반환, 철회 등으로 실제 국가나 자치단체로부터 지원금을 받지 않은 경우 지원 가능
○ 재정지원 직접 일자리사업 등 각종 지원사업 참여자
※ 공고일 전 참여완료(사업종료)된 경우 신청 가능
○ 경상북도 청년복지사업(행복카드, 사랑채움 등)에 참여 중인 자
※ 공고일 전 참여완료(사업종료)된 경우 신청 가능
○ 월 급여총액이 기준중위소득 150%(3,588,020원)를 초과한 자
○ 세법에 따라 사업자등록을 한 자
○ 대한민국 국적을 보유하지 않은 자
○ 현역 보충역(군인, 사회복무요원, 전문연구·산업기능요원 등)
○ 국가근로장학생(한국장학재단) 참여 중인 자
○ 임금으로 보기 힘든 성과급 위주 지급 직종 참여자
* 다단계 판매업, 학습지 교사, 보험설계사 등
○ 사업대상자 선정 이후 이직 또는 퇴사한 자(면접수당 제외)
○ 기타 경북 청년愛꿈 사업 취지에 부적합하다고 판단되는 참여자

□ 면접수당
○ 면접을 봤을 당시 재직 중인 자
○ 국민취업지원제도, 실업급여, 기타 구직활동 수당 등 타 기관에서 시행 중인 유사사업에 참여 중인 자
○ 취업 의사 없이 수당을 위한 목적으로 면접에 지원한 자
○ 제출서류 미충족자, 사업의 운영목적에 부합되지 않는 자 등

□ 취업성공수당
○ 주 40시간 미만의 단기근로자(2025년 최저임금 2,096,270원 이하인 자)
○ 중앙정부, 타 지자체 사업 중 유사사업(국민취업지원제도, 취업성공패키지, 청년구직활동지원금 등)에 참여 중이거나 참여했던 자
○ 한국장학재단 사다리장학금(고교 취업연계장려금, 중소기업 취업연계 장학금 등)에 참여 중인 자
※ 단, 사업종료 및 의무종사 기간이 종료된 자에 한하여 지원 가능(2025. 1. 1. 기준)
○ 제출서류 미충족자, 사업의 운영목적에 부합되지 않는 자 등

□ 근속장려수당
○ 주 40시간 미만의 단기근로자(2025년 최저임금 2,096,270원 이하인 자)
○ 중앙정부, 타 지자체 사업 중 유사사업(근속 유도사업, 청년(재직자)내일채움공제, 지역주도형 청년일자리사업, 일자리 채움 청년지원금 등)에 참여 중이거나 참여했던 자
※ 단, 지역주도형 청년일자리사업의 경우 근로자가 직접 수혜를 받지 않은 경우 지원 가능(자격여부 파악을 위한 추가 서류 必)
○ 한국장학재단 사다리장학금(고교 취업연계장려금, 중소기업 취업연계 장학금 등)에 참여 중인 자
※ 단, 사업종료 및 의무종사 기간이 종료된 자에 한하여 지원 가능(2025. 1. 1. 기준)
○ 사업참여(선정 및 등록) 이후 정부 및 지자체 유사사업(청년내일채움공제, 청년재직자내일채움공제 등) 참여가 영구히 불가할 수 있으며, 본 사업 참여이력 삭제 불가
○ 타 유사사업의 사업별 규정이 본사업 규정과 상이할 수 있어 관련 내용은 타 유사사업의 운영기관에 문의 후 지원",43,경상북도,제한없음,"재직자, 미취업자",제한없음,20250422,20251231,중소기업
20250515005400210830,대출,부산 학자금 대출이자 지원,"상환,발생이자,학자금대출","한국장학재단의 학자금대출을 받은 부산시 소재 대학교 대학생·대학원생 및 대학교 졸업생 대상 대출이자 지원
* 2025년 사업의 세부 일정은 7월 이후 공고 예정",교육,교육비지원,"○ 지원내용 : 한국장학재단 학자금대출의 '24년 7월 ~ '25년 6월까지 발생이자(1년분)
※ 학자금대출 종류 구별없이 지원(일반 상환 학자금대출, 취업 후 상환 학자금 대출 대상, 등록금 및 생활비 대출 포함)
※ 신청액이 예산액을 초과할 시 예산범위 내에서 소득분위별 차등 지원
○ 지원방법 : 발생이자 금액만큼 한국장학재단을 통해 대출계좌별 원리금에 상환(차감) 처리",부산광역시,,특정기간,특정기간,20250701,20251231,,□ 신청기간 : 2025. 7. ~ 8월(예정),,,,"문의처
▸ 이자지원 관련 : 부산시 120 콜센터(☎051-120)
▸ 학자금대출 관련 : 한국장학재단(☎1599-2000)",https://young.busan.go.kr/index.nm?menuCd=49,,N,18,39,제한없음,기타,공고문 확인,"○ 지원대상 : 한국장학재단의 학자금대출을 받은 부산시 소재 대학교 대학생·대학원생 및 대학교 졸업생 중 아래 요건에 해당하는 자
  ▸ 대학(원)생 : 공고일 기준 부산지역 소재 대학(원)에 재학, 휴학 중인 자
  ▸ 대학교 졸업생(2가지 요건)
      ❶ 공고일 기준 주민등록상 부산시 거주자
      ❷ 공고일 기준 부산시 소재 대학교 졸업 후 2년 이내 미취업자","대학원 졸업생은 지원대상 제외
대학 제적 또는 건강보험자격득실확인서 상 공고일 기준 건강보험 ‘직장가입자’인 졸업생은 지원대상 제외
한국장학재단 홈페이지를 통하여 본인의 대출잔액 또는 이자 면제 여부 확인 후 신청",5,부산광역시,제한없음,제한없음,대학 졸업,20250701,20250831,제한없음
